id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,speechiness,instrumentalness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,0.05,0.00
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,0.04,0.85
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,0.06,0.02
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,0.03,0.91
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,0.07,0.00
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,0.02,0.96
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,0.05,0.78
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,0.04,0.45
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,0.03,0.88
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,0.06,0.01
11,Golden Hour,Sable Keys,r&b,romantic,0.58,95,0.87,0.76,0.42,0.18,0.00
12,Street Psalms,Verse One,hip-hop,melancholic,0.67,88,0.38,0.81,0.12,0.34,0.00
13,Sonata in Blue,Clara Voss,classical,melancholic,0.24,66,0.31,0.22,0.97,0.04,0.98
14,Dirt Road Gospel,The Hollow Pines,country,nostalgic,0.55,104,0.74,0.63,0.82,0.08,0.02
15,Iron Cathedral,Shattervault,metal,angry,0.97,168,0.23,0.52,0.05,0.07,0.10
16,Delta Moan,Hattie Blue,blues,melancholic,0.44,72,0.40,0.48,0.88,0.09,0.12
17,Island Morning,Coral Drift,reggae,happy,0.61,82,0.88,0.77,0.55,0.10,0.03
18,Pine & Candle,June Moths,folk,nostalgic,0.31,96,0.69,0.45,0.91,0.07,0.14
19,Drop Zone,Bassline Cult,edm,euphoric,0.95,140,0.72,0.91,0.04,0.05,0.62
20,Velvet Static,Dusk Array,dreampop,dreamy,0.50,100,0.66,0.58,0.48,0.04,0.38
